intent,question,label
Digitall-Installment-Loan,What is digital installment in Wing Bank,2
Digitall-Installment-Loan,What are feature of Wing Bank’s Digital Installment,2
Digitall-Installment-Loan,What are the fee charges associated with Wing Bank's digital installment services,2
Digitall-Installment-Loan,How can I check my digital installment eligibility,2
Digitall-Installment-Loan,What is the minimum purchase amount to use digital installment,2
Digitall-Installment-Loan,What is the maximum loan amount for a digital installment plan,2
Digitall-Installment-Loan,Where can I use the digital installment service,2
Digitall-Installment-Loan,How do I repay a digital installment loan,2
Digitall-Installment-Loan,How do I apply for digital installment,2
Digitall-Installment-Loan,How long does it take for a digital installment to get approved,2
Digitall-Installment-Loan,What is the difference between digital installment and digital loan,2
Digitall-Installment-Loan,What are the repayment terms for digital installment,2
Digitall-Installment-Loan,What are the main benefits of using digital installment,2
Digitall-Installment-Loan,How can I improve my digital installment eligibility,2
Digitall-Installment-Loan,Why was my digital installment request rejected,2
Digitall-Installment-Loan,Can I use digital installment if I don’t have enough balance,2
Digitall-Installment-Loan,How do I get started with Wing Bank’s digital installment service,2
Personal-Loan,What is a personal loan from Wing Bank,11
Personal-Loan,What types of personal loans are available through Wing Bank,11
Personal-Loan,Do I need collateral to apply for a Wing Bank personal loan,11
Personal-Loan,What are the main benefits of taking a personal loan from Wing Bank,11
Personal-Loan,How can I apply for a personal loan with Wing Bank,11
Personal-Loan,What are the eligibility criteria for a personal loan at Wing Bank,11
Personal-Loan,How fast can I get approved for a Wing Bank personal loan,11
Personal-Loan,Is there an interest rate for a Wing Bank personal loan,11
Personal-Loan,Can I repay a Wing Bank personal loan early without penalty,11
Personal-Loan,Where is the money from the personal loan deposited,11
Personal-Loan,Are there any processing fees for a Wing Bank personal loan,11
Personal-Loan,What documents are required for a personal loan application,11
Personal-Loan,How do I improve my chances of getting approved for a personal loan,11
Motor-Loan,What is a Motor Loan,10
Motor-Loan,Who can apply for a motor loan,10
Motor-Loan,How much can I borrow with a motor loan,10
Motor-Loan,Do I need collateral or a guarantor for a motor loan,10
Motor-Loan,What is the interest rate for a motor loan,10
Motor-Loan,What is the maximize repayment period for a motor loan,10
Motor-Loan,Where can I apply for a motor loan,10
Motor-Loan,What benefit of Motor Loan,10
Motor-Loan,What is term and condition of Motor Loan,10
Motor-Loan,What documents are required to apply for a motor loan,10
Motor-Loan,Can someone working for an organization apply for a motor loan,10
Motor-Loan,What type of income is accepted for a Motor Loan,10
Motor-Loan,Who can I contact for more information about Motor Loan,10
Loan-Against-Term-Deposit,What is a Wing Digital Loan Against Term Deposit,5
Loan-Against-Term-Deposit,What are the benefits of Wing Digital Loan Against Term Deposit,5
Loan-Against-Term-Deposit,How much can I borrow with a Loan Against Term Deposit,5
Loan-Against-Term-Deposit,Do I need to submit any documents to get a Loan Against Term Deposit,5
Loan-Against-Term-Deposit,Is there any requirement to apply for a Loan Against Term Deposit,5
Loan-Against-Term-Deposit,Do I need to break my term deposit to get a Loan Against Term Deposit,5
Loan-Against-Term-Deposit,What type of bank account do I need for a Loan Against Term Deposit,5
Loan-Against-Term-Deposit,How fast is the disbursement for a Loan Against Term Deposit,5
Loan-Against-Term-Deposit,What is the interest rate for a Loan Against Term Deposit,5
Loan-Against-Term-Deposit,How is the Loan Against Term Deposit repaid,5
Loan-Against-Term-Deposit,Can I apply for a Loan Against Term Deposit if my term deposit is not active,5
Loan-Against-Term-Deposit,What happens if I repay the Loan Against Term Deposit early,5
Loan-Against-Term-Deposit,Where can I learn more about the Loan Against Term Deposit service,5
RGC-Salary-Loan,What is an RGC Salary Loan,13
RGC-Salary-Loan,What are terms and condition of RGC Salary Loan,13
RGC-Salary-Loan,Who is eligible to apply for an RGC Salary Loan,13
RGC-Salary-Loan,How much can I borrow through an RGC Salary Loan,13
RGC-Salary-Loan,Is collateral required for an RGC Salary Loan,13
RGC-Salary-Loan,Do I need to submit documents for an RGC Salary Loan,13
RGC-Salary-Loan,How do I apply for an RGC Salary Loan,13
RGC-Salary-Loan,What is the maximum repayment term for an RGC Salary Loan,13
RGC-Salary-Loan,What is the interest rate for an RGC Salary Loan,13
RGC-Salary-Loan,Is there a processing fee for an RGC Salary Loan,13
RGC-Salary-Loan,When is the repayment due for the RGC Salary Loan,13
RGC-Salary-Loan,How is the RGC Salary Loan repaid,13
RGC-Salary-Loan,Which companies’ employees can apply for an RGC Salary Loan,13
RGC-Salary-Loan,Can I use the RGC Salary Loan for any purpose,13
RGC-Salary-Loan,Where can I get more information about the RGC Salary Loan,13
Merchant-Loan,What is a Merchant Loan,8
Merchant-Loan,What is the benefit of Merchant Loan,8
Merchant-Loan,What are terms and conditions of Merchant Loan,8
Merchant-Loan,Who can apply for a Merchant Loan,8
Merchant-Loan,How much can I borrow with a Merchant Loan,8
Merchant-Loan,Do I need collateral to apply for a Merchant Loan,8
Merchant-Loan,What is the interest rate for the Merchant Loan,8
Merchant-Loan,How do I apply for a Merchant Loan,8
Merchant-Loan,Are documents required to apply for a Merchant Loan,8
Merchant-Loan,How fast is the disbursement of a Merchant Loan,8
Merchant-Loan,How is the Merchant Loan repaid,8
Merchant-Loan,When is the repayment due for the Merchant Loan,8
Merchant-Loan,Can I apply for a second Merchant Loan if I already have one,8
Merchant-Loan,Is the Merchant Loan available to all business owners,8
Merchant-Loan,Where can I get more information about the Merchant Loan,8
Salary-Loan,What is a Salary Loan,14
Salary-Loan,What is the condition of Salary Loan,14
Salary-Loan,What is the benefit of Salary Loan,14
Salary-Loan,Who is eligible for a Salary Loan,14
Salary-Loan,How much can I borrow with a Salary Loan,14
Salary-Loan,What documents are required for a Salary Loan,14
Salary-Loan,Do I need collateral to get a Salary Loan,14
Salary-Loan,How do I apply for a Salary Loan,14
Salary-Loan,How long does it take to get a Salary Loan approved,14
Salary-Loan,What is the loan term for the Salary Loan,14
Salary-Loan,What interest rate does the Salary Loan have,14
Salary-Loan,How is the Salary Loan repaid,14
Salary-Loan,When is the Salary Loan repayment due,14
Salary-Loan,Can I use the Salary Loan for any purpose,14
Salary-Loan,How can I get more information about the Salary Loan,14
Migrant-Worker-loan,What is a Migrant Worker Loan,9
Migrant-Worker-loan,What is the condition of Migrant Worker Loan,9
Migrant-Worker-loan,What are requirement of Migrant Worker Loan,9
Migrant-Worker-loan,Who can apply for a Migrant Worker Loan,9
Migrant-Worker-loan,How much can I borrow with a Migrant Worker Loan,9
Migrant-Worker-loan,What countries are covered under the Migrant Worker Loan,9
Migrant-Worker-loan,What currency is the Migrant Worker Loan available in,9
Migrant-Worker-loan,What is the repayment period for the Migrant Worker Loan,9
Migrant-Worker-loan,Is collateral required for a Migrant Worker Loan,9
Migrant-Worker-loan,How does repayment work for the Migrant Worker Loan,9
Migrant-Worker-loan,How are payments made from abroad for the Migrant Worker Loan,9
